"filename", "language", "HTML", "TypeScript", "CSS", "comment", "blank", "total"
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/plist-pelicula/plist-pelicula.component.css", "CSS", 0, 0, 134, 37, 31, 202
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/plist-pelicula/plist-pelicula.component.html", "HTML", 108, 0, 0, 93, 12, 213
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/plist-pelicula/plist-pelicula.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/plist-pelicula/plist-pelicula.component.ts", "TypeScript", 0, 86, 0, 6, 10, 102
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/update-pelicula/update-pelicula.component.css", "CSS", 0, 0, 108, 8, 12, 128
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/update-pelicula/update-pelicula.component.html", "HTML", 160, 0, 0, 2, 31, 193
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/update-pelicula/update-pelicula.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/update-pelicula/update-pelicula.component.ts", "TypeScript", 0, 139, 0, 3, 25, 167
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/data-table-sala/data-table-sala.component.css", "CSS", 0, 0, 0, 0, 1, 1
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/data-table-sala/data-table-sala.component.html", "HTML", 20, 0, 0, 0, 3, 23
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/data-table-sala/data-table-sala.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/data-table-sala/data-table-sala.component.ts", "TypeScript", 0, 25, 0, 0, 6, 31
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/select-plist/select-plist.component.css", "CSS", 0, 0, 0, 0, 1, 1
